slug,url,old_title,new_seo_title,old_description,new_description,modifiers_dropped_and_why
a-qua-qua-de-la-omar,/songs/a-qua-qua-de-la-omar/,A Qua Qua De La Omar | Meet Them in Music,A Qua Qua De La Omar: Lesson Plan | Elementary Music,"Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free notation, lyrics, and an elementary lesson plan for teaching steady beat and turn-taking with the passing game 'A Qua Qua De La Omar,' in G Major.",Sheet Music: dropped only because full title exceeded 60 chars (page does deliver this); Lyrics: dropped only because full title exceeded 60 chars (page does deliver this)
a-ram-sam-sam,/songs/a-ram-sam-sam/,A Ram Sam Sam | Meet Them in Music,A Ram Sam Sam: Lyrics and Lesson Plan | Elementary Music,"Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free notation, lyrics, and an elementary lesson plan for the seated Moroccan hand-motion song 'A Ram Sam Sam,' teaching fine motor control, in F Major.",Sheet Music: dropped only because full title exceeded 60 chars (page does deliver this)
akka-bakka-soda-cracker,/songs/akka-bakka-soda-cracker/,Akka Bakka Soda Cracker | Meet Them in Music,Akka Bakka Soda Cracker: Lesson Plan | Elementary Music,"Akka Bakka Soda Cracker is a duple meter chant. Includes pedagogical analysis, classroom activity ideas, and UDL adaptations for elementary music teachers.","Free lyrics and an elementary lesson plan for the marching, turn-taking chant 'Akka Bakka Soda Cracker,' teaching steady beat, in chant meter.",Sheet Music: dropped only because full title exceeded 60 chars (page does deliver this); Lyrics: dropped only because full title exceeded 60 chars (page does deliver this)
alley-alley-oh,/songs/alley-alley-oh/,Alley Alley Oh | Meet Them in Music,Alley Alley Oh: Lyrics and Sheet Music | Elementary Music,"Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free sheet music and lyrics for 'Alley Alley Oh,' a So-Do bordun sea-shanty for elementary xylophone accompaniment practice, in G Major, 4/4 meter.",
ally-bally,/songs/ally-bally/,Ally Bally | Meet Them in Music,Ally Bally: Lyrics and Lesson Plan | Elementary Music,"Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free notation, lyrics, and an elementary lesson plan for teaching Do-Mi-So on xylophones with the choice song 'Ally Bally,' for general music classrooms.",Sheet Music: dropped only because full title exceeded 60 chars (page does deliver this)
atta-katta-moeva,/songs/atta-katta-moeva/,Atta Katta Moeva | Meet Them in Music,Atta Katta Moeva: Lyrics and Lesson Plan | Elementary Music,"Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free notation, lyrics, and an elementary lesson plan for teaching articulation with the Dutch hand-clapping song 'Atta Katta Moeva,' in F Major, 2/4 meter.",Sheet Music: dropped only because full title exceeded 60 chars (page does deliver this)
audition-music,/songs/audition-music/,Audition Music | Meet Them in Music,Audition Music: Baritone and Trumpet | Elementary Music,"Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Notated baritone and trumpet audition excerpts for instrument transposition practice, an internal teaching resource for general music programs.","utility/practice page, not a song lesson: no Lyrics/Sheet Music/Lesson Plan claim applied"
biddy-biddy-hold-fast,/songs/biddy-biddy-hold-fast/,Biddy Biddy Hold Fast | Meet Them in Music,Biddy Biddy Hold Fast: Lesson Plan | Elementary Music,"Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free notation, lyrics, and an elementary lesson plan for the hidden-object circle game 'Biddy Biddy Hold Fast,' teaching So-Mi, in F Major, 4/4 meter.",Sheet Music: dropped only because full title exceeded 60 chars (page does deliver this); Lyrics: dropped only because full title exceeded 60 chars (page does deliver this)
bim-bum-biddy,/songs/bim-bum-biddy/,Bim Bum Biddy | Meet Them in Music,Bim Bum Biddy: Lyrics and Lesson Plan | Elementary Music,"Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free notation, lyrics, and an elementary lesson plan for the challenging hand-clapping game 'Bim Bum Biddy,' built to teach grit, in D Major, 2/4 meter.",Sheet Music: dropped only because full title exceeded 60 chars (page does deliver this)
blue-bird,/songs/blue-bird/,Blue Bird | Meet Them in Music,Blue Bird: Lyrics and Sheet Music | Elementary Music,"Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free sheet music and lyrics for 'Blue Bird,' a So-Mi and So-La circle-tag game tune for general music classrooms, in G Major, 4/4 meter throughout.",
