Draft/Live,posted on socials,needs to add,Title,Tonal Concepts,Rhythmic Concepts,Activity Types,Social Concepts,Movement Concepts,Supports Adaptations,Language Origins,Keys,Modes,Meters
Live,,,A Qua Qua De La Omar,Low So; Tonic-Dominant,Pickups; Steady beat,Passing game,Accepting losing; Teamwork; Attention,,,,G,Major,Duple; 4/4
Live,,,Akka Bakka Soda Cracker,,Steady beat,,Taking Turns,Marching,,,unpitched,chant,Duple; 2/4
Live,,,Clapping Land,I-IV-V,Pickups,,Welcoming,Movement Themes,,,D,Major,Duple; 2/4
Live,,,Did You Feed my Cow,Tonic,Pickups; Rhythmic elongation; Syncopation,Call and Response,Responsibility; Farm life,,,,F,,Duple; 4/4
Live,,,Frog in the Meadow,Mi-Do,1/16 notes,Singing,Taking Turns,Stomping; Weight; Freeze,Visual Support; Movement Alterations,English,F,Major,Duple; 2/4
Live,,,Go 'Round the Mountain,Mi-Re-Do,Steady Beat,,,,,,C; D,Major,Duple; 2/4
Live,,,Grandma's Glasses,,Duple vs Triple,Fingerplay,Family,,,,unpitched,,mixed; duple; triple
Live,,,Great Big House in New Orleans,Bordun,1/2 Note; 1/8 Note,Xylophone,,,Choice Board,English,F,Pentatonic,duple; 2/4
Live,,,Haul Away Joe,v-i,Rhythmic Elongation,,Rhyme,Stretchy Band,,,C,Minor,Triple; 6/8
Live,,,Hogs in the Cornfield,,1/16 Notes; 1/8 Note,Game,Accepting Losing,Steady Beat,Visual Support; Movement Alteration,English,D,Major,Duple; 2/4
Live,,,Jeremiah Blow the Fire,Mi-Re-Do,1/8 notes; Rests,Scarf; Movement,,Flow; Part vs Whole,,English,D,Major,Duple; 2/4
Live,,,John the Rabbit,,Pickups,Call and Response; Echo Song,Farming; Stealing,,,,E,Major,Duple; 2/4
Live,,,Old Raggy,So-Mi-Do,Macrobeat/Microbeat,Drumming,Taking Turns; Partners; Games; Accepting Losing,Longways Sets,Movement Alteration,,F,Major,6/8; Triple
Live,,,Peas and Honey,,Pickups,,Social differences; Choice,Constrained Movement; Part vs Whole,,,D,Major,Triple; 6/8
Live,,,Pickles and Pie,Leading tone,,Choice Board,,,,,D,Mixolydian,Duple; 2/4
Live,,,Pole Pole,Mi-Do-La; Leading Tone,Rhythmic Elongation,Echo Song,Different Culture,Bouncing; Walking; Sliding,Choice Board,Swahili; English,F,Harmonic Minor,Duple; 4/4
Live,,,Poor Old Crow,Bordun,1/16 notes,Xylophone,Choice,,Altered Complexity,English,D,Mixolydian,duple; 2/4
Live,,,Radna and Petko,Mi-La; Do-La; La-Si-La,Eighth Notes,Beanbag,Love; Patience,Flow; Weight; Part vs Whole,,Bulgaria,F,Harmonic Minor,Duple; 4/4
Live,,,Skin and Bones,Do-La,Pickups,Call and Response,Responsibility,,,,G,Minor,Triple; 6/8
Live,,,Stirring the Brew,Tonic-Dominant; Do-Ti-La,Flow,,Taking Turns,,,,E,Minor,Triple; 6/8
Live,,,Zoom Zoom Zoom We're Going to the Moon,Do-Mi-So,,,,,,,C,Major,Duple; 2/4
